2.997924999999999549e-02 3.250956728114545820e+44
3.006221689255917165e-02 3.235765713348188918e+44
3.014541339410659049e-02 3.226364164337881744e+44
3.022884014007966996e-02 3.216936596754534118e+44
3.031249776767510479e-02 3.207482938592282587e+44
3.039638691585228730e-02 3.198003117646071023e+44
3.048050822533892104e-02 3.188497061511017596e+44
3.056486233863664123e-02 3.178964697581778166e+44
3.064944990002445302e-02 3.169405953052158074e+44
3.073427155556438667e-02 3.159820754914474748e+44
3.081932795310718398e-02 3.150209029958912389e+44
3.090461974229575387e-02 3.140570704773133752e+44
3.099014757457085878e-02 3.130905705741636420e+44
3.107591210317688785e-02 3.133829645946033131e+44
3.116191398316530206e-02 3.120702558135703301e+44
3.124815387140039355e-02 3.107539141408445180e+44
3.133463242656507608e-02 3.094339295224731489e+44
3.142135030916441002e-02 3.081102918766906466e+44
3.150830818153136509e-02 3.067829910938306827e+44
3.159550670783266291e-02 3.054520170362371640e+44
3.168294655407236093e-02 3.041173595382092877e+44
3.177062838809788931e-02 3.027790084059096764e+44
3.185855287960493581e-02 3.014369534172895074e+44
3.194672070014231702e-02 3.000911843220144343e+44
3.203513252311809140e-02 2.988476332007895946e+44
3.212378902380321616e-02 2.979839060421850544e+44
3.221269087933741060e-02 2.971177885383153255e+44
3.230183876873517212e-02 2.962492740739491575e+44
3.239123337288935672e-02 2.953783560155553770e+44
3.248087537457717416e-02 2.945050277112448529e+44
3.257076545846621790e-02 2.936292824907115116e+44
3.266090431111805942e-02 2.927511136651973570e+44
3.275129262099431976e-02 2.918705145274334065e+44
3.284193107846272719e-02 2.909874783515805468e+44
3.293282037580080868e-02 2.901019983931937229e+44
3.302396120720191980e-02 2.873537231783507875e+44
3.311535426878138566e-02 2.871400234331814523e+44
3.320700025858022014e-02 2.869257322788275579e+44
3.329889987657126682e-02 2.867108480785781545e+44
3.339105382466529826e-02 2.864953691911910756e+44
3.348346280671483932e-02 2.862792939708837471e+44
3.357612752852055099e-02 2.860626207673183715e+44
3.366904869783611531e-02 2.858453479255905987e+44
3.376222702437473022e-02 2.856274737862141157e+44
3.385566321981290511e-02 2.854089966851119715e+44
3.394935799779692787e-02 2.851899149536014046e+44
3.404331207394786091e-02 2.844515939874128883e+44
3.413752616586802208e-02 2.835351155310982292e+44
3.423200099314487738e-02 2.826161007414990341e+44
3.432673727735729985e-02 2.816945425993735066e+44
3.442173574208198805e-02 2.807704340660457761e+44
3.451699711289725470e-02 2.798437680833690571e+44
3.461252211738944512e-02 2.789145375736630981e+44
3.470831148515933495e-02 2.779827354396522255e+44
3.480436594782599508e-02 2.770483545644273536e+44
3.490068623903324480e-02 2.761113878113836319e+44
3.499727309445608420e-02 2.751718280241574986e+44
3.509412725180464238e-02 2.745633356125526087e+44
3.519124945083063061e-02 2.737678175230243288e+44
3.528864043333387185e-02 2.729700978552733319e+44
3.538630094316622815e-02 2.721701705164843722e+44
3.548423172623845628e-02 2.713680293969780143e+44
3.558243353052531477e-02 2.705636683701688404e+44
3.568090710607244032e-02 2.697570812925090393e+44
3.577965320500030300e-02 2.689482620034560422e+44
3.587867258151118677e-02 2.681372043254154386e+44
3.597796599189427569e-02 2.673239020636991042e+44
3.607753419453266913e-02 2.636005768880178146e+44
3.617737794990739247e-02 2.629106252991082890e+44
3.627749802060407924e-02 2.622187642848700637e+44
3.637789517131969491e-02 2.615249885610077658e+44
3.647857016886658921e-02 2.608292928286081890e+44
3.657952378217924766e-02 2.601316717740934691e+44
3.668075678232107784e-02 2.594321200691741816e+44
3.678226994248846166e-02 2.587306323708213739e+44
3.688406403801759714e-02 2.580272033212194242e+44
3.698613984639131935e-02 2.573218275477185846e+44
3.708849814724321514e-02 2.567851453190492850e+44
3.719113972236447879e-02 2.556493684218468182e+44
3.729406535571083703e-02 2.545104482879087205e+44
3.739727583340663603e-02 2.533683762184024986e+44
3.750077194375216194e-02 2.522231434904178642e+44
3.760455447722895611e-02 2.510747413569078672e+44
3.770862422650713558e-02 2.499231610466080436e+44
3.781298198644958419e-02 2.487683937639898293e+44
3.791762855411928007e-02 2.476104306891797077e+44
3.802256472878472182e-02 2.458522456890466895e+44
3.812779131192730458e-02 2.454237058142650255e+44
3.823330910724557358e-02 2.449939799651261485e+44
3.833911892066228788e-02 2.445630648594743239e+44
3.844522156033152588e-02 2.441309572060665453e+44
3.855161783664296654e-02 2.436976537045553412e+44
3.865830856222901568e-02 2.432631510454595802e+44
3.876529455197198076e-02 2.428274459101353936e+44
3.887257662300838690e-02 2.423905349707583893e+44
3.898015559473615860e-02 2.419524148902945744e+44
3.908803228882184316e-02 2.479683140144575934e+44
3.919620752920498219e-02 2.469663705026783417e+44
3.930468214210533495e-02 2.459616541350203741e+44
3.941345695603018506e-02 2.449541572376621034e+44
3.952253280177871197e-02 2.439438721155538655e+44
3.963191051244965152e-02 2.429307910523469309e+44
3.974159092344697192e-02 2.419149063103410953e+44
3.985157487248759678e-02 2.408962101304129781e+44
3.996186319960583905e-02 2.398746947319749426e+44
4.007245674716110317e-02 2.389366251694230447e+44
4.018335635984366522e-02 2.373070856002628658e+44
4.029456288468248604e-02 2.356730363174005648e+44
4.040607717104963137e-02 2.340344648403110215e+44
4.051790007066780747e-02 2.323913586539294402e+44
4.063003243761782735e-02 2.307437052085411824e+44
4.074247512834316270e-02 2.290914919197152944e+44
4.085522900165747262e-02 2.274347061681936278e+44
4.096829491875216694e-02 2.257733352997798009e+44
4.108167374320096515e-02 2.296929693694650195e+44
4.119536634096752220e-02 2.291390882587247671e+44
